! Bethell 2011, Table 2

! Energy (keV)
0.030  0.055
0.055  0.100
0.100  0.165
0.165  0.284
0.284  0.400
0.400  0.532
0.532  0.708
0.708  0.867
0.867  1.303
1.303  1.840
1.840  2.471
2.471  3.210
3.210  4.038
4.038  7.111
7.111  8.331
8.331  10.00


! c0, c1, c2 for gas
14.2    727     -4130
22      445     -1550
31      263     -614
43.7    112     -165
49      86      -103
58.6    36.9    -39.9
48      130     -82.2
77.4    46.3    -22
80.1    69.8    -28.3
117     7.43    -1.87
107     16      -3.75
106     13.6    -2.63
138     -1.99   -0.179
142     -4.7    0.239
138     -3.36   0.133
88.9    8.15    -0.547


! c0, c1, c2 for dust
0.0344  -1.62   88.2
-0.147  4.19    48.1
-0.677  14.9    9.6
-1.12   23.6    -16.2
0.188   24.6    -1.09
-3.57   55.5    -37.9
-8.24   89.6    -48.1
57.1    -49.9   52.1
9.11    72.7    -20.8
-8.71   106     -25.7
34.9    72.4    -11.4
23.6    85.1    -11.3
116     28.2    -2.55
191     -2.92   1.09
812     -74.7   6.49
-33     137     -6.39
