H           CH                      C           H2                                   1.31e-10     0.00     80.0   300  2000  5 B NN C
H           CH2                     CH          H2                                   6.64e-11     0.00      0.0   300  2500  5 A NN L
H           NH                      N           H2                                   1.73e-11     0.50   2400.0    80   300  5 C NN L
H           CH3                     CH2         H2                                   1.00e-10     0.00   7600.0   300  2500  5 A NN L
H           NH2                     NH          H2                                   5.25e-12     0.79   2200.0    73   300  5 C NN L
H           NH2                     NH          H2                                   1.05e-10     0.00   4450.0  1100  3000  5 A NN M
H           CH4                     CH3         H2                                   5.94e-13     3.00   4045.0   300  2500  5 A NN L
H           OH                      O           H2                                   6.99e-14     2.80   1950.0   300  2500  5 A NN L
H           NH3                     NH2         H2                                   7.80e-13     2.40   4990.0   200  2500  5 C NN M
H           H2O                     OH          H2                                   1.59e-11     1.20   9610.0   250  3000  5 A NN L
H           C2                      CH          C                                    4.67e-10     0.50  30450.0  1015 41000  5 C NN L
H           C2H2                    C2H         H2                                   3.80e-10     0.00  13634.0   295  6920  5 A NN L
H           HCN                     CN          H2                                   6.20e-10     0.00  12500.0   300  2500  5 C NN L
H           C2H3                    C2H2        H2                                   3.32e-11     0.00      0.0   300  2500  5 A NN L
H           CO                      OH          C                                    1.10e-10     0.50  77700.0  2590 41000  5 C NN L
H           H2CN                    HCN         H2                                   1.00e-10     0.00      0.0    10   300  5 C NN M
H           HCO                     O           CH2                                  6.61e-11     0.00  51598.0  1200  1812  5 A NN M
H           HCO                     CO          H2                                   2.00e-10     0.00      0.0   300  2500  5 A NN M
H           NO                      O           NH                                   9.29e-10    -0.10  35220.0   300  3000  5 C NN M
H           NO                      OH          N                                    3.60e-10     0.00  24910.0  1500  4524  5 A NN L
H           H2CO                    HCO         H2                                   4.85e-12     1.90   1379.0   250  5000  5 B NN C
H           HNO                     OH          NH                                   2.40e-09    -0.50   9010.0   350  3000  5 C NN L
H           HNO                     NH2         O                                    1.05e-09    -0.30  14730.0   550  3000  5 A NN L
H           HNO                     NO          H2                                   4.50e-11     0.72    329.0   200  3000  5 B NN C
H           O2                      OH          O                                    2.61e-10     0.00   8156.0   250  4000  5 A NN L
H           O2H                     OH          OH                                   1.66e-10     0.00    413.0   230  2500  5 A NN L
H           O2H                     H2O         O                                    5.00e-11     0.00    866.0   245  2500  5 C NN M
H           O2H                     O2          H2                                   2.06e-11     0.84    277.0   230  2500  5 A NN L
H           HS                      S           H2                                   2.50e-11     0.00      0.0   300  2500  5 C NN M
H           H2O2                    H2O         OH                                   1.70e-11     0.00   1800.0   300  2500  5 A NN L
H           H2O2                    O2H         H2                                   8.00e-11     0.00   4000.0   300  2500  5 A NN L
H           H2S                     HS          H2                                   3.71e-12     1.94    455.0   190  2560  5 A NN M
